epoch,train_loss,validation_loss
0,1.6598015015365506,
1,0.9694853208160245,
2,0.8614568817687985,
3,0.7996430411201051,
4,0.7491682319397552,
5,0.7133975803084437,
6,0.6987757844156846,
7,0.6770857535669961,
8,0.665755561500852,
9,0.6510912796769338,0.4783702822127931
10,0.6409632323351268,
11,0.6360588905989255,
12,0.6267751809062184,
13,0.617981860819646,
14,0.6150118855312068,
15,0.6077894945337095,
16,0.5804258151732465,
17,0.5767727429910747,
18,0.5733294301604692,
19,0.5673995907900506,0.45550242582899775
20,0.5673033925197226,
21,0.5660761006562081,
22,0.5621055786501793,
23,0.5609536890745401,
24,0.5588821163524368,
25,0.559400412220811,
26,0.5567407386954158,
27,0.55434853931631,
28,0.5546249897517578,
29,0.5515229368327214,0.46553779210736784
30,0.5508180998319449,
31,0.5518744760109443,
32,0.5491750833236219,
33,0.5467027814237504,
34,0.5452107998843899,
35,0.5468830269684675,
36,0.5468545683692365,
37,0.5436341941967915,
38,0.5397814606110511,
39,0.5437032353302751,0.4188905953150229
40,0.5415486611875806,
41,0.5422150213289509,
42,0.539975902490419,
43,0.5370241272222648,
44,0.5399842306317203,
45,0.5376774208435138,
46,0.5369511417908674,
47,0.5369474905412063,
48,0.5347386065818657,
49,0.5325239842681885,0.4131384704996892
50,0.5331888833394687,
51,0.532287624268184,
52,0.5337210134765001,
53,0.5319110972776622,
54,0.5129315155466839,
55,0.5135878579155388,
56,0.5136434607088698,
57,0.511924543559204,
58,0.5117527484394367,
59,0.5105728248876491,0.39398881376265105
60,0.5105036811366614,
61,0.5108094969853292,
62,0.5102727941998347,
63,0.5067190192796951,
64,0.5077420986566734,
65,0.5087962692641278,
66,0.5075105715145389,
67,0.50853048247681,
68,0.5057300956305301,
69,0.503706779463131,0.38851490419486734
70,0.5044742516115047,0.38850231657129397
71,0.5050713029836819,
72,0.5011346208074073,
73,0.4940763082629517,
74,0.49141871854548336,
75,0.4906470457902268,
76,0.49046471146723614,
77,0.49123353933309677,
78,0.48938179170651,
79,0.48836192772143655,
80,0.4884386233811695,0.37127891345087266
81,0.4870641880637341,
82,0.4888784000081068,
83,0.48836227857083336,
84,0.4888399830724263,
85,0.48615890713265786,
86,0.4858375805618649,
87,0.4859106556377534,
88,0.4891114889300767,
89,0.48505535694326984,
90,0.48716272653840037,0.3729975128057295
91,0.48463095371302545,
92,0.4833273946426716,
93,0.485788603107181,
94,0.4835595125615848,
95,0.4855347589635544,
96,0.4836106321239298,
97,0.48613108935209304,
98,0.48353316658383066,
99,0.48432114384658004,
100,0.48573970871862515,0.3691953945592749
101,0.4752440998464635,
102,0.47272366872071375,
103,0.47510498596830864,
104,0.4731198453659873,
105,0.4724929067353712,
106,0.472967378045475,
107,0.47300327175765755,
108,0.4729505488983883,
109,0.4667664528783466,
110,0.464227768445805,0.3574208714687018
111,0.46688339191247813,
112,0.46443979831974214,
113,0.4655923849937769,
114,0.4668651848396229,
115,0.4659185990479095,
116,0.46565920278766093,
117,0.4654818532891186,
118,0.4652016392862786,
119,0.46055537678108055,
120,0.45870780547927964,0.35393452000263337
121,0.46078957942480514,
122,0.46055630865742236,
123,0.4609710925042363,
124,0.46020611616320817,
125,0.4592228170246097,
126,0.4600615111713146,
127,0.46063607184092653,
128,0.4556117189190989,
129,0.4568303124217301,
130,0.4556093056124481,0.34851801752771716
131,0.45418718809219905,
132,0.4551450109405636,
133,0.45607577179241715,
134,0.4541563308262021,
135,0.45518457108208105,
136,0.45532650438622085,
137,0.4532934945559687,
138,0.45215369882421647,
139,0.4529351099119677,
140,0.4543817263091894,0.34666567694401534
141,0.4534378659646827,
142,0.45188746852162165,
143,0.45207258968230785,
144,0.4524160853624966,
145,0.45239079576442587,
146,0.4520383453012981,
147,0.450310059913862,
148,0.4518122366485805,
149,0.452816626165675,
150,0.45256597125983095,0.34895800075923283
151,0.45151974265578537,
152,0.4508703704548976,
153,0.44867321464795157,
154,0.4504105289758342,
155,0.45055708550254636,
156,0.44999390981363196,
157,0.44891164038598375,
158,0.4497393787199792,
159,0.45119571950094245,
160,0.4462926195030904,0.3453256796488737
161,0.44912644924124817,
162,0.4498475853697045,
163,0.4477028938925249,
164,0.44857816580364596,
165,0.4456414546637769,
166,0.44722134986505396,
167,0.44755762355225465,
168,0.44701890875329264,
169,0.4479745874681057,
170,0.4462460126259655,0.34509350424232993
171,0.4468909723918852,
172,0.4479633261272556,
173,0.4493028947655793,
174,0.4463976677309313,
175,0.4488111453380478,
176,0.4493030810575251,
177,0.4469323964420533,
178,0.4470050717777029,
179,0.44703416858535866,
180,0.4464378049060482,0.34336267584143715
181,0.44617559941568896,
182,0.4460981053886878,
183,0.44656609053532115,
184,0.4445336862163217,
185,0.44701817432285434,
186,0.4461002502104282,
187,0.44380023531389035,
188,0.44591813237645794,
189,0.4454680780114283,
190,0.445101702635029,0.34369864004244643
191,0.4438148951107874,
192,0.4460604805719235,
193,0.44433495634100667,
194,0.44506610509506495,
195,0.44488782136469973,
196,0.44649174820428217,
197,0.44496226549683304,
198,0.4443817077298202,
199,0.4445030158930442,
200,0.4463338251072928,0.34318420108832515
201,0.4441518235986187,
202,0.4451570789347456,
203,0.44529454496824944,
204,0.4461345465621042,
205,0.4427695721402577,
206,0.4439112680932419,
207,0.445050516415469,
208,0.4449276831023902,
209,0.4435336790712272,
210,0.4420904204634255,0.3437050758016586
211,0.4458661080621684,
212,0.4433943724741062,
213,0.44426136581454906,
214,0.4451488759534452,
215,0.4453363665957169,
216,0.4443206718609983,
217,0.44298003409194747,
218,0.4428212134296903,
219,0.44539243983239696,
220,0.44485934780440106,0.34343545463936676
221,0.4447865223031514,
222,0.4428726203195335,
223,0.44577533983164885,
224,0.4438610569066586,
225,0.4444595282417234,
226,0.44720384410843167,
227,0.4439716254418266,
228,0.4438468793872698,
229,0.4438711007084385,
230,0.4424351100959231,0.3426030094439282
231,0.44728884046724904,
232,0.4439144788755,
233,0.44722273005465707,
234,0.4418980458418183,
235,0.44476999235093334,
236,0.44162587431334716,
237,0.4426990691913212,
238,0.4432766011357854,
239,0.44395817711263474,
240,0.4442070188937152,0.34329221596069287
241,0.443780188399659,
242,0.44338434519895026,
243,0.44285740614419994,
244,0.44369483079251903,
245,0.44436593558754633,
246,0.44261935827065874,
247,0.4434827798293956,
248,0.4443788160242385,
249,0.4454088268115772,
250,0.4456031538058531,0.3429077334842479
251,0.44542110919232675,
252,0.44371374910212175,
253,0.44322547071964574,
254,0.4440859782779177,
255,0.4432791929599911,
256,0.44446394017684027,
257,0.4439828532249531,
258,0.4437882675779982,
259,0.44393036148449955,
260,0.443141621413713,0.34318182297827055
261,0.44398559322586345,
262,0.44322060654014067,
263,0.4437749668642818,
264,0.4439522469713507,
265,0.44301700395169374,
266,0.4418279046713242,
267,0.44327646639284823,
268,0.44630173500231846,
269,0.442531506829514,
270,0.44372233948502626,0.3431111250522565
271,0.444216621703017,
272,0.4425376078510111,
273,0.4435823831517903,
274,0.44384053445555516,
275,0.44465797301974325,
276,0.44300265263201827,
277,0.4458887101634781,
278,0.44325830915546593,
279,0.4451318703277262,
280,0.44392435657319046,0.34279970375139207
281,0.4431636387911116,
282,0.4432847622477047,
283,0.44529729321733746,
284,0.4429868300362888,
285,0.4445746468698255,
286,0.4437802018275409,
287,0.44351245922955257,
288,0.4427518232187808,
289,0.44265758852636755,
290,0.44601811981085476,0.3434604574081187
